구분,학교 수,전체,학생용,교사용,직원용,기타
전체,12209,242.00,147.55,73.01,12.85,8.60
초등학교,6359,212.81,137.79,57.72,14.45,5.86
중학교,3278,222.08,131.00,71.68,9.64,9.76
계,2379,342.34,201.94,113.74,12.55,14.11
일반고,1649,296.82,156.27,114.34,11.87,14.34
특성화고,489,478.89,347.66,106.03,12.21,13.00
자율고,80,343.05,167.91,143.28,14.35,17.51
특수목적고,161,393.43,243.98,116.35,19.58,13.53
특수학교,193,206.77,79.65,97.35,18.77,10.99
서울특별시,4014,327.77,204.79,94.84,15.92,12.22
부산광역시,8277,199.25,119.04,62.09,11.32,6.80
서울특별시,1370,334.26,198.87,105.20,18.05,12.14
부산광역시,637,271.58,172.32,74.20,14.51,10.56
대구광역시,467,426.93,300.14,86.26,17.25,23.18
인천광역시,554,334.80,199.34,115.79,12.21,7.45
광주광역시,324,288.76,164.17,99.03,15.06,10.49
대전광역시,312,341.77,244.42,70.67,15.81,10.88
울산광역시,249,278.21,167.00,83.07,15.76,12.37
세종특별자치시,101,301.21,180.17,99.07,13.50,8.47
경기도,2534,214.81,125.86,66.96,15.15,6.85
강원특별자치도,664,175.56,116.59,41.28,11.66,6.03
충청북도,495,225.11,143.39,63.33,12.39,6.00
충청남도,741,199.64,119.36,65.20,9.00,6.08
전라북도,781,159.79,98.72,47.96,8.42,4.69
전라남도,887,186.74,113.32,57.05,9.44,6.94
경상북도,974,218.45,125.80,78.76,5.84,8.04
경상남도,1003,167.25,89.18,58.58,11.74,7.76
제주특별자치도,198,292.83,201.64,68.81,12.06,10.33
